Name,Category,Weight,HealthRisk,LifeExpectancy,Coat,GroomingIntensity,MonthlyCost,Trainability,ActivityLevel,Purpose,Content,AdditionalContent
Belgian Shepherd Groenendael,Active & Energetic Smart & Trainable Protective & Guarding ,25-30 kg,Medium,13-14 years,Long,Low,average,High,High,,"The Groenendael comes from Belgian Shepherd lines and is a medium-sized elegant dog with spectacular looks. They have a longer muzzle than their Shepherd cousins and a slightly longer neck. Their long black coat requires regular brushing to keep it beautiful and shiny.    Groenendaels make great watch and guard dogs, and if from good breeding lines, should not show any signs of aggression. An early consequent upbringing is important to ensure a well-balanced companion dog. They are easy to train and will thrive on having a job to fulfill. They tend to be quite relaxed and laidback at home, where they will observe and take part in activities. They might even help you with chores like mopping the floor or stacking the dishwasher!    Once outdoors, Groenendaels want to let off steam and run. They benefit from participating in agility or other dog sports as well as from daily long walks.    Groenendaels are gentle and tolerant towards children and truly enjoy family life, devoting all their attention to being part of their family’s life. If you train them well and start early enough, they can become a constant companion wherever you and your family go.    They want to be a part of everything and will love it if you take them with you wherever you go. It’s not that they can’t stay home alone, they just prefer to be part of your everyday life. Once you own a Groenendael you will know his heart belongs to you when his eyes light up each time you come through the door.",
Bernese Mountain Dog,Active & Energetic Family & Kid Friendly Chilled Out & Relaxed ,40-45 kg,Very high,6-8 years,Long,Medium,High,High,High,,"Teddy bear looks and warm caring eyes match the Bernese Mountain Dog's faithful temperament ... these dogs simply love everyone.    Bernese Mountain Dogs are very alert and watchful at home, but not really barkers. Their warm nature, paired with an immense play drive, makes them a giant cuddly playmate on four paws.    Bernese Mountain dogs desire attention and require a close bond with their family. They are best suited to a family with kids who will play with them and take them on daily walks. Alternatively, they could be suitable for a young couple who can ensure their play drive is met.    Bernese Mountain Dogs are prone to hip dysplasia. They need careful exercise while they're still puppies so as not to damage their joints.",
Bichon Frise,Small & Cute Family & Kid Friendly Low Shedding Chilled Out & Relaxed ,3-6 kg,Medium,12-15 years,Long,High,Low,Medium,Low,,"Bichon Frise have cute black button eyes and white fluffy fur that make them look like very handsome snowmen.    Their easy-going temperament makes them wonderful companion dogs. They are great for first time dog owners and are fabulous apartment dogs that don't mind being left home alone.    Whatever you decide to do, they are likely to fit in. If you are keen on agility or just want to snuggle on the couch, they will adjust to whatever your lifestyle is.    Bichon Frise are quite open and welcoming to kids and love playing with them. They are also great with other animals of any kind. They don't like confrontation and prefer to walk away to avoid any kind of stress.    Bichon Frise don't lose hair but this doesn't meant that they don't require intensive grooming. Regular brushing and clipping is recommended for this breed so that their coat doesn't get matted.",
Bloodhound,Active & Energetic ,41-50 kg,Medium,10-12 years,Short,Low,very high,Medium,Medium,,"Bloodhounds are equipped with an excellent sense of smell and were traditionally used to track down prey over long distances. Their sense of smell is so great that they are often used as search and rescue dogs or as cadaver dogs, as they can find a scent even when it seems impossible.    Bloodhounds are calm, friendly and intelligent but can also be quite clingy towards their owners. They tend to fixate on their owners and are quite sensitive to any changes. They can often be a bit unruly and seem to have a mind of their own. Good leadership and clear boundaries are a must for Bloodhounds to become good family dogs.    They are not recommended for first time dog owners as their sense of smell can take them places you don’t want them to be, and obedience training is therefore important.    Bloodhounds not only love to run but also have the ability to run and track a scent at the same time by keeping their noses on the ground. Their ears are very long, and have been bred this way to assist them with scent tracking. When running they seem to flop around like bunny ears.    Brushing is recommended once in a while. Other than that you just need to worry about their desire to exercise and run.",
Boerboel,Family & Kid Friendly Protective & Guarding ,70-90 kg,Medium,10-12 years,Short,Low,very high,Medium,Medium,,"Boerboels originated in South Africa, where they were bred to protect and guard their family without attacking. Boerboels are big loving dogs that have a big heart and are always keen to play. They are brave, dutiful, calm, intelligent and make fantastic guard dogs. They adore and love their family and take their job of protecting them very seriously.    Your Boerboel will be your best friend and will know when you need love and affection. He will be able to sense when you simply don’t like somebody, and will move his whole body between you and the other person without you needing to say a word. His presence and body mass will be enough to warn any intruder to back off.    When you invite people over and introduce them to your Boerboel he will accept them. But he will always stay on guard until the person has left the house. If you ever feel in danger, he will know what to do to make you feel safe. His favorite time is when the entire family is home together and he will lie and rest near you to make sure everybody feels safe.    A Boerboel’s coat is easy to maintain and regular brushing is all that is required.",
Border Collie,Active & Energetic Smart & Trainable ,17-20 kg,Medium,13-16 years,Long,Medium,Average,Very high,Very high,,"Border Collies are highly intelligent working dogs that require lots of mental stimulation and a physical outlet. Due to their great looks, warm face and smarts, they are becoming more and more popular as family pets.    Owners of Border Collies need to be prepared to dedicate around 2-3 hours every day to physical and mental exercise. Border Collies are very quick learners and you will often find them doing brilliantly at dog sports like agility, nose work or fly ball. They are eager to please and will be happy to show off all the tricks and skills you teach them.    Border Collies like to be praised for their work and will always give 100%. They don't like any kind of negative feedback and punishment is very hard for them to digest.    Their chase and herding instinct is inbred and needs to be given a controlled outlet. They love chasing balls and would rather drop dead than stop chasing. If not given enough of a workout for their brain, Border Collies can develop behavioural issues like chasing lights and shadows to the point where they put themselves in danger.",
Border Terrier,Active & Energetic Family & Kid Friendly Small & Cute ,5-7 kg,Low,12-15 years,Short,Low,very low,Medium,High,,"Behind a rough shell of thick wiry hair, the Border Terrier is a beautiful, loving family dog that loves to have his pack around him and enjoys adventures with them.    Border Terriers don’t seem to be as boisterous as other terrier breeds and tend to get along well with other dogs and humans. Another positive for this terrier breed is that they hardly shed any fur. But, as with all other terrier breeds, Border Terriers have their own minds and can be quite stubborn. Whilst they are easy to train, they won’t always follow commands when they don’t think it’s the right thing to do. That’s a terrier for you…it’s not that they don’t know, they simply decide for themselves when something is right and when it isn’t.    Border Terriers have a robust build as they were used to hunt, and still are in some parts of the world. They are unlikely to get cold under that thick coat, which doesn’t require much grooming – just a trim once or twice a year.    This breed requires lots of exercise, and if well exercised, they will be a delight to have as calm family members inside the house. Early training and socialisation is recommended, especially if you want to avoid them chasing and hunting down any small animals. They aren’t very good being left at home for long hours on their own.",
Borzoi,Family & Kid Friendly Chilled Out & Relaxed ,34-47 kg,Medium,7-10 years,Long,Medium,high,Low,Low,,"Borzois are aristocratic looking sight hounds from Russia that are amazing runner sand require large spaces to run. To witness their full beauty when running it is best to find a fenced-off area, as once they take on speed not much can stop them.    Borzois are happiest when they can run fast for short periods. At home they are happy to lounge around and relax. They are quite attached to their owners and will follow them around. Because of their strong chasing instincts, it is important to train Borzois from a very young age. If anything moves, their instincts to chase will kick in and you may not be able to stop them…they will chase until they drop!    Having two Borzois is a great idea so they can entertain themselves when you are at work. Borzois like company, preferably 24/7, from either a human or another dog.    This breed is brave and they needed to be as their job in the past was to chase larger animals, like horses, wolves, foxes and rabbits.    Borzois make great family dogs and are relaxed and chilled at home. They need a house with a garden, where you will find them outside sunbathing from time to time.    They have amazing eyesight and if you take them on walks where there is wildlife around, you may find it extremely hard to hold them back. Your Borzoi will spot the wildlife before you and teaching them to come back is of utmost important.",
Boston Terrier,Small & Cute Active & Energetic Family & Kid Friendly Low Shedding ,6-11 kg,Medium,13-15 years,Short,Low,Below average,High,Medium,,"Lively and happy, coupled with lots of charm...Boston Terriers are sure toimpress with their big personality packaged in a small compact body on long legs.    Boston Terriers are lovable, attentive and easy going. Great with other animals, they adjust easily to new situations. Due to their size and confidence they can be taken everywhere and will happily go with you on any adventure.    They enjoy long walks, but their short noses - which can make breathing a bit more difficult - combined with their heat sensitivity, mean they aren't likely to become extreme athletes.    Boston Terriers might prefer doggy dancing or obedience training as an outlet, where they can use their smarts and charisma to outperform the bigger breeds.    Boston Terriers are very affectionate and might decide to run up to you and give you a face wash at any time ... so be prepared for dog slobber! Their charm and silliness makes it hard to say no. They are likely make you laugh with their funny snorting sounds or begging eyes at the dinner table.    Boston Terriers simply looooove food, and it's easy to teach them great tricks using food as a reward. Who knows, they may even help you load the dishwasher by pre-washing the dishes!",
Bouvier Des Flandres,Active & Energetic Family & Kid Friendly Smart & Trainable Protective & Guarding ,35-40 kg,Medium,10-12 years,Medium,High,high,High,Medium,,"The Bouvier Des Flandres originated in Flanders in Belgium and was used as a herding and farm dog. The true beauty of this breed lies not in their looks but in their temperament.    As a working dog they require plenty of exercise and mental stimulation. With their high willingness to please, they are easy to train, although they don’t do well with learning under pressure and will instantly shut down if yelled at. They are best to train through praise, reward and a good dose of humour.    Bouvier Des Flandres’ are true one person dogs. They will tolerate and love the rest of the family but you are likely to find that they are really attached to one person only. During the day they are happiest by your side and at night you won’t be able to escape either – if they have their way, they will be sharing your bed! They will tolerate being left home alone on some occasions, but not all the time.    Maintenance of their coats is time intense. They requires a 1-hour brush, 2-3 times a week. Grooming every 2-3 months is also a must.",
Boxer,Active & Energetic Family & Kid Friendly Protective & Guarding ,30-32 kg,Very high,10-12 years,Short,Low,Above average,Medium,High,,"If you don't mind the slobber, Boxers can make a perfect family dog.    Willingness to please and obey commands is in their nature, which makes Boxers quite easy to train. They have a calm nature combined with a soft gentle temperament and tend to be gentle with children. However, we recommend early socialisation with children to ensure this is the case.    With a strong tendency to protect their own, Boxers will be devoted and attached to their family. However, they can be quite skeptical and mistrustful towards strangers.    They will usually bark to alert their pack and for this reason we would not recommend this breed as an apartment dog.    Regular exercise is quite important for Boxers but it doesn't have to be over the top. They won't mind if they miss one walk per week.",
Briard,Active & Energetic Family & Kid Friendly Smart & Trainable Protective & Guarding ,27-41 kg,Medium,10-12 years,Long,Medium,high,Medium,High,,"The Briard originated in France where they were farm dogs until they found their way into family homes. These days they are more suited to being family dogs than farm dogs as they love being close to their people. However, they still have the energy of farm dogs and you will need to give them an outlet to let off this energy, preferably through endless play.    Briards need an active lifestyle and keeping them involved in day-to-day activities is a must. This breed has a wonderfully sweet face and an even more beautiful, devoted nature. They are not only friendly and balanced but also make very good watchdogs. They are extremely friendly to children, devoted to their owners, brave and intelligent.    Agility and other dog sports are a must for you to participate in with your Briard. They have also gained more and more popularity as therapy dogs as well as search and rescue dogs. They will wrap you around their little finger with their sweet angel faces, but Briards can also be very stubborn, and a consistent upbringing is highly recommended.    They have a very bubbly personality, which, combined with lots of energy might not be suitable for first time dog owners.    Their coat requires daily brushing otherwise it will get matted easily.",
British Bulldog,Family & Kid Friendly Chilled Out & Relaxed Protective & Guarding ,23-25 kg,Very high,7-10 years,Short,Low,Average,Medium,Low,,"When you think of a British bulldog, think of immense inner calm, which is hard to disturb. Their patience and calmness makes this breed the ideal companion for families with kids. This is especially true if you have a busy family life and can't exercise your dog much.    British Bulldogs don't need much exercise but will enjoy being taken along to your kids' sporting activities or any other activities. They are great for city life as they prefer to cruise around the streets and then go home and lie on the couch with you for some relaxation time.    Although they seem like a very chilled-out breed, they are quite sensible and find unfair treatment very insulting.    Their wrinkles need to be looked after on a daily basis to ensure they are clean and to avoid skin infections. As a result of over-breeding, they tend to have quite a few health issues. Warning, with this breed, it is quite common to spend a fair bit of time at the vet.",
