NAME,APPEARANCE,TEMPERAMENT,HEALTH,HOUSEPET POTENTIAL,SPACE & EXERCISE,ACTIVITIES AND DOG SPORTS,GROOMING,RECOMMENDED FOR
Hungarian Vizsla,"APPEARANCE Photo credit: Hubertus Vizslas Australia The Hungarian Vizsla is a slim, sleek, sophisticated-looking dog with a sensitive expression and thin, silky, drop ears . He has a short russet gold coat and the eyes and nose come in various shades of brown. Although sometimes described as medium-sized, most dog owners would consider the Hungarian Vizsla belongs to the large breed category. Height: Male: 56–64 cm; Female: 53–61 cm Weight: Male: 20–29 kg; Female: 18–25 kg For the full breed standard, visit the ANKC website","TEMPERAMENT Lively, friendly, even tempered and easily trained.  The Hungarian Vizsla has an outstanding willingness to keep contact with his master while working and it is one of his essential qualities. The good-natured Hungarian Vizsla has even been called the ""Velcro Vizsla""  because he is so tactile - he likes to attach himself to people, preferably in their laps or on their heads! The breed ranks low on aggression , destructiveness and snappiness, and high on playfulness. If you're interested in dog sports, your Hungarian Vizsla would probably be happy to compete. The Vizsla excels in conformation, field, obedience and agility . His superb scenting skills make him a natural hunter. Hungarian Vizslas have also been guide dogs, drug detection dogs, therapy dogs, and search and rescue dogs, and have competed in falconry, flyball , tracking, and hunt tests. Hungarian Vizslas are talkers: they will whine, moan, or make other noises to let you know their opinion on everything that's going on. Some can become recreational barkers if this bad habit isn't controlled early on. Being a retrieving dog, the Vizsla is mouthy and likes to chew. Provide him with a variety of chew toys and rotate them regularly so he doesn't get bored and decide to gnaw on your shoes or other expensive items.","In Australia, Hip Dysplasia - a degenerative disease of the hips - cases in Hungarian Vizslas have been reported though the incidence has been low. If you're buying your puppy from a reputable breeder, please ensure the parents have been x-rayed and have good hips before buying their pups. The average lifespan is 12-14 years.","HOUSEPET POTENTIAL Hungarian Vizslas love being indoors and, due to their thin coats, feel the cold in winter. Most quickly learn to be neat and quiet, although puppies can be a danger to your fragile ornaments!",not available,not available,"This smooth, shorthaired coat is easy to keep in peak condition. Brush with a firm bristle brush, and dry shampoo occasionally. Bathe with mild soap only when necessary. The nails should be kept trimmed.",
Jack Russell Terrier,"APPEARANCE The Jack Russell Terriers are ostensibly different - slightly longer - to the Parson Russell Terriers who are taller and square. Ideally the Jack Russell stands between 25-30cm (10-12″) in height, a bit taller than a Maltese , and is slightly longer than it is tall. Although narrow, the chest is deep though the shortened legs should still allow for plenty of clearance. The eyes will appear alert, the jaws deep, wide and powerful and the coat is predominantly white with black, tan or brown markings. Today's Jack Russells are characterised by two-tone or tri-colour patterns of white, brown, and sometimes black. The Jack Russell Terrier comes in three coat varieties - smooth, rough and broken, and all require a minimum of grooming. Modern day Jack Russells are much more sturdy and muscled than their ancestors. Weight: 6 – 8 kg Height: 25 – 30 cm For the full breed standard, visit the ANKC website .","TEMPERAMENT The Jack Russell Terrier is a happy, energetic dog with a strong desire to work. This breed is most happy when given companionship and a job to do. Digging is normal for a Jack Russell, especially if he decides it is his job to free your yard from rodents! Hunting ability is bred into them; it is their nature. The desire to hunt combined with a high energy level makes training a must for the Jack Russell. You will never win a battle of wills with him! Early socialisation is one of the most important things you can do for your Jack Russell puppy. Introducing him to the world in a controlled environment is key to raising a well-behaved, happy and friendly dog. Socialising is familiarisation of your puppy with different people, children, other dogs, animals and getting them used to all kinds of environments, sounds, smells and situations. Although bold and fearless, the Jack Russell Terrier should remain a friendly and playful dog with children and their owners. An untrained Jack Russell may grow to be a nippy dog and any bored dog is likely to be destructive. Because of his origins, Jack Russells can be vocal and they also make good watchdogs. The breed’s fearless character can manifest itself when confronted with other dogs and any animal that resembles prey, including cats, hamsters etc.","HEALTH & LIFESPAN The Jack Russell is a hardy breed with few health and genetic problems. Some are prone to dislocation of the kneecaps, inherited eye diseases, deafness and Legg Perthes —a disease of the hip joints of small dog breeds. Most other health issues relate to injuries caused by the dog’s fearless and spirited nature. This is a strong, healthy breed with an expected long lifespan, about 14-15 years.",not available,not available,not available,GROOMING The Jack Russell is a medium maintenance dog with all type of coats requiring some grooming. Smooth coat Jack Russells actually require more brushing (weekly) whereas the rough and broken coats will only need to be stripped every four weeks.,
Maltese,"APPEARANCE This elegant dog breed is famous for the long silky white coat covering his body. Straight and thick, the coat falls all the way to the floor. Many years ago, Maltese came in many colours, but these days they are always white. But the Maltese is more than his coat. Completing the picture is a slightly rounded skull, shiny black nose, hanging ears, dark brown eyes surrounded by black eye rims and short straight legs. Maltese carry their heads high on their long necks, and their plumed tails carry over their backs. This gives them a distinguished, aristocratic look. Height: up to 25 cm for both males and females Weight: there's no restriction for conformation but a healthy weight range for an adult dog is 3-4kg. For the full breed standard, visit the ANKC website .","TEMPERAMENT Even though the Maltese are very small dogs, they tend to be brave and without fear. They are generally sweet tempered and owners will find their Maltese constantly by their side, whether they are working around the house or relaxing in bed. Maltese as one of the toy breeds don’t require a great deal of space which makes them ideal for those who have small backyards or live in apartments. Because they have a long history as companion dogs, Maltese require a lot of human attention and suffer from separation anxiety . If left alone for hours each day, they can bark and become destructive. No breed is perfect, and Maltese sometimes are intolerant of small children or other dogs, especially if they have been overly pampered by their people. If this occurs, they can become very protective, barking and even biting if animals or people are perceived as a threat to their relationship with their beloved human family. Maltese are not a good choice for families with small children, however, because they are so small and can be easily injured. Like all dogs, they must be taught their place in your home, and require early socialisation and basic obedience training. They are also notoriously hard to housetrain and some like to jump in puddles.","HEALTH & LIFESPAN As a rule of thumb, wait until your Maltese puppy is 8 months old to walk very far with him, because his bones are still developing. As with many other toy breeds the most common health issue relates to the leg joints. Patellar luxation (locking of the kneecaps), is not entirely uncommon and can progress to cause more serious osteoarthritis . This condition can usually be addressed with surgery. When purchasing your puppy, have a vet check it over thoroughly. The vet will check the leg joints and as a matter of routine will also check the heart for congenital heart murmur . Maltese are prone to gingivitis and need a diet that includes chewy food. Maltese will live to 14-15 years but it is not uncommon for them to reach 18 if kept out of the damp.",not available,not available,not available,"GROOMING Because he doesn't have an undercoat, the Maltese sheds little, and many people consider the breed to be hypoallergenic. But be warned, Maltese are one of the highest maintenance dogs. Keep the coat well out of the eyes otherwise constant tearing will cause a painful dermatitis. If neglected, the coat will also cause serious health problems such as skin infections, pain and restricted movement. If you’re not up to grooming daily, the coat can be clipped right back, about an inch long, ensuring that the dog stays warm. Even a clipped dog will need regular grooming. Unless bathed weekly and groomed daily, the Maltese long luxurious coat will mat, especially when the puppy coat is replaced by adult hair.",
Poodle,"The toy and miniature types are by far the most popular of the three types today. Toys stand under 28cm, similar in height to a Maltese ; whilst the Miniature may be about 10cm taller, like a Fox Terrier. The Standard Poodle is a medium to large-sized dog, standing well over its smaller cousins. The Poodle can be any one of many solid colours including blues, creams, whites, apricots, reds, silvers, blacks, browns. Any Poodle that is not a solid colour at maturity (2 years) is said to be ""mismarked"" and this may indicate it is not a purebred Poodle. Both grey and silver Poodles are actually born black and they will gradually fade to grey over a 2-year period. It is the Poodle’s coat that sets it apart from many other breeds. Thick, curly and dense, it has a woolly appearance rather than furry and doesn’t shed. If left unclipped, which is not recommended, this woolly coat would normally conceal the dog’s fine-boned form. Slender built with sharp, well defined features, the poodle’s frame used to be shown off with those elaborate clipping styles which once associated the breed with the well-to-do. These clips are now really only commonly seen in the show ring. For the full breed standards, please visit the ANKC website .","A well-bred Poodle is highly intelligent and usually very co-operative. It is easily trained using toys and training rewards to make the process fun. Its empathetic nature and joy in engaging with people makes him a natural for visiting people in nursing homes, hospitals, and schools and Poodles make wonderful therapy dogs. Poodles are active dogs, but the smaller dogs need less room and less exercise. Toy and Miniature Poodles are often the companions of people who are less active and can be extremely happy as lap dogs and TV-watching buddies. Despite their playful attitude, poodles are regarded as the second most intelligent of dog breeds (after the Border Collie ). They love human companionship and will often form close bonds with one member of the family, usually the provider. This can produce a loyal and easily trained companion, equally ideal for those living alone or with a family. However, an intelligent dog is an easily spoilt dog, and a spoilt poodle can be a force to be reckoned with. The breed should simply not be over-pampered and must be treated with an even-handed approach, maintaining a reasonable level of discipline and common sense. Of the three varieties, this is perhaps more so with the Toy, which due to its small stature, is prone to developing a nervous and unpredictable manner if handled roughly or antagonised, a problem most often seen when in a family with small or boisterous children.  Whilst Poodles make excellent watchdogs and will naturally alert you when strangers arrive at your home, they should quickly become calm and accepting if and when you tell them to be. Obedience training, at least to a level so that the dog understands essential basic commands, is recommended. Standard Poodle Roxy heeling - Photo credit: Linda Johnson, Giday Poodles Breeders generally agree that the Standard is the most stable of the three, though requires the most exercise. The Miniature is most common among families.","HEALTH AND LIFESPAN The Poodle is a fairly healthy breed but may still suffer from some various conditions which are common with many breeds of similar size. The process of miniaturisation can lead to problems of overcrowding of the teeth in the toy variety. Both Toy Poodles and Miniature Poodles may suffer from luxating patella - where the kneecap moves out of its natural position. This condition can be corrected surgically and the likelihood of its incidence can be determined by a veterinarian. Eye disorders, such as Progressive Retinal Atrophy (PRA) are known to occur amongst the breed, but can, and should, be tested for by breeders prior to breeding. Hip Dysplasia , a chronic condition affecting the hip joints, is also evident in the Standard Poodle. A responsible breeder would not use animals affected by these conditions, so be satisfied you are purchasing from a reputable breeder. The deep chest of the Standard Poodle may predispose it to bloat – a gastrointestinal condition associated with overfeeding or feeding at inappropriate times. New owners should consult with breeders to discuss dietary requirements. Healthy, well-maintained poodles will live a long life, around 15 years.",not available,not available,not available,"GROOMING If you’re after a low maintenance dog which requires little grooming, don’t choose a poodle. The fine, curly coat that worked well when the Poodle spent his time in the water needs to be clipped regularly, typically about every 5 to 6 weeks, depending on his owner’s preferences. If allowed to grow long, the coat will mat and it requires regular brushing at home, even with professional grooming. Those elaborate clips displayed on show dogs are not essential, and a simple ‘lamb clip’ is all that is required. Owners can learn to clip their dogs, however a professional clipper is recommended for the first year, until the dog becomes accustomed to the practice. Clipping will cost around $30 to $100, depending on the size of the animal and the establishment. This regular cost should be considered before purchasing the dog. Dental care is important, particularly for Toy and Miniature Poodles. Keep on top of it by brushing teeth with a dog toothpaste and having a veterinarian do regular dental checks. Any long-eared breed with a large covering of hair is also prone to a build-up of wax and grime in the ear canal, which may result in infections if not cleaned regularly. Trim the nails as needed, usually every week or two. They shouldn’t get so long that you can hear them clicking on the floor.",
Rottweiler or Rottie,"APPEARANCE The Rottweiler is a large dog, slightly longer than it is tall with a large frame balanced by a deep, broad chest and heavy muscling. Rotties are always black with clearly delineated rust or mahogany markings over the eyes, on the side of the muzzle, and on throat, chest, and lower legs. Traditionally tail docking was performed when the puppies were newly born within days but this practice has now thankfully been outlawed in Australia. The Rottie coat is smooth and short with an undercoat present on the neck and thighs. Wavy or curly coats are faulted and long coats are disqualifications for breeding and the show ring. The Rottweiler in motion is a picture of power and stamina with strong reach in front and forceful drive in the rear. A well-conditioned Rottie is a superb athlete. Height: Males 61-68cm; Females 56-63cm Weight: 42-50 Kg For the full breed standard, please visit the ANKC website .","TEMPERAMENT It is in breed temperament that the Rottie is often misjudged. A well-bred Rottweiler is calm, confident, and courageous with an inherent aloofness towards strangers and a reserved attitude in new situations. Combined with his fierce devotion to home and family, these characteristics can be subverted from their original purpose by poor breeding practices, lack of socialisation, and failure to teach basic good manners. Rottweilers are territorial and will not permit strangers onto their property or in their home unless their owner welcomes the person. Some Rottweilers will not even let people they know into the house if the owner isn’t there, which can be a problem if you need to have a pet sitter or some other person come in while you are gone. If the dog does not accept examination by the owner or by anyone chosen by the owner, such as a veterinarian, without either shrinking away or becoming aggressive, the dog does not exhibit acceptable Rottweiler character. Rottweiler owners without a strong grasp of the breed’s nature can find themselves in trouble if the dog has been badly bred or assumes leadership of the family.","HEALTH & LIFESPAN Rottweilers are one of the breeds most affected by Hip Dysplasia , a genetic deformity in which the head of the femur doesn’t fit properly into the hip socket. This condition can range from mild to severe. Severe cases are extremely painful and often require surgery to correct. Even with the surgery, the dog is likely to develop arthritis as he ages. Elbow Dysplasia and osteochondrosis (OCD) – a bone and cartilage problem – can also occur in this breed. Rottweilers can develop progressive retinal atrophy (PRA), cataracts, eyelid deformities, and other vision and eye problems. Rottweilers can develop heart problems , including cardiomyopathy and subaortic stenosis (SAS), a narrowing of the aorta that carries blood away from the heart. This usually shows up first as a slight heart murmur, but murmurs can often occur in puppies who have no heart problems as adults. SAS can lead to sudden death, even at a young age, so have your dog’s heart checked regularly. Rotties are also more susceptible than many breeds to canine bloat , a condition in which the stomach can turn and block, causing a build-up of gas. Unless treated very quickly, bloat can be fatal. Hip and elbow dysplasia are genetically carried malformations. Retinal problems are inherited, as is the tendency to bloat. Rottweilers are sensitive to high temperatures . Never leave any dog outdoors on a hot day without access to shade and an unlimited supply of fresh water.",not available,not available,not available,"GROOMING The Rottweiler has what’s called a double coat. The medium-length outer coat is straight, coarse and dense, lying flat on the body. The soft, downy undercoat is present on the neck and thighs, and its thickness depends on whether you live in a cool or warm climate. The Rottweiler’s coat sheds moderately and requires little grooming. Brush him weekly with a rubber hound mitt or soft bristle brush to keep the hair and skin healthy. In spring and fall, he will have a heavy shed, known as “blowing out” the coat and will need to be brushed more frequently to get rid of all the loose hair. With the gentle dog shampoos available now, you can bathe your Rottie weekly without harming his coat or only when he gets dirty. Clean the ears as needed with a solution recommended by your veterinarian. Wipe out the ear with a cotton ball, never going deeper than the first knuckle of your finger. Trim the nails regularly, usually every couple of weeks. They should never be so long that they click on the floor. And don't forget to brush the teeth frequently with a specific pet toothpaste.",
Samoyed,"APPEARANCE The Samoyed is medium-size dog with a thick white coat and a big, permanent smile on his face that reflects the happy-go-lucky nature of the breed. The Samoyed is actually a rugged, compact working dog of both dignity and grace. He is a double-coated breed with a softer undercoat and a harsher standoffish outer coat. The Samoyed coat can be white, cream or biscuit or a combination of any of the three. Any colour other than listed or blue eyes are faults in the Samoyed. The Samoyed is, in spite of what you may have heard, a breed that does well in all elements.  While they prefer the cooler climates; the Samoyed acclimatises well to the warmer climates.  Their dual coat protects them in both cold and heat. You will just need to  use the common sense approach as it applies to the heat and humidity factors.  The Samoyed is less active during the summer months and will want to go outside in the summer months in the very early morning. Males are noticeably larger than females. Females are 45-51cm at the shoulder, the males are 51-56cm. Their weight is in proportion to the size. The Samoyed being essentially a working dog , he should be strong, active and graceful. As his work lies in cold climates his coat should be heavy and weather-resisting. For the full breed standard, please visit the ANKC website .","TEMPERAMENT Samoyeds are active, inquisitive, quick-witted and mischievous.  They remain playful through to old age.  With a twinkle in their dark, intelligent eyes and their ever present  smile, the Samoyed has been called the dog that carries in its face and heart the spirit of Christmas the whole year through. The Samoyed is alert, full of action but above all displaying affection towards all mankind. The Samoyed has often been accused of being wilful and stubborn, and certainly he can be easily bored and distracted. However, his original environment demanded a very intelligent breed with an independent nature. He is easy to train, but dislikes repetition. He thinks for himself, and ""if you keep throwing that ball away, you obviously don't want it!"" If not kept entertained, the Samoyed will entertain himself - he enjoys chewing and delights in ""gardening"". At the very least, a Samoyed requires daily walking. Samoyeds are naturals when it comes to dog sports, and will thrive on the stimulation and adrenaline rush of activities like obedience training and agility . There is also a dog sledding competition held annually during winter. Breeders warn that without the stimulation of daily exercise and people contact, the Samoyed will become a shadow of its true self and will fall into a depressed state.  This can lead to unruly behaviour, as well as a tendency to escape from the yard.  As with all dogs, early socialisation and training is a must with the Samoyed to ensure it develops good social skills. Many Samoyeds are barkers, which makes them great as watchdogs, but as guard dogs, they are often found lacking - they will bark when a stranger approaches, but then show him where to find the silverware. The constant companionship with man through the years, has given the Samoyed an uncanny human understanding.  His guarding of reindeer, requiring always a protector, never a killer, has developed a disposition in the breed unique in the canine world. A Samoyed is totally trustworthy with children and develops a close affinity with humans. Due to their exuberance with children’s games, supervision is strongly advised with toddlers to prevent accidental knocking. A Samoyed’s main objective in life is to sleep by his owners. He needs to be an integral part of your family . They are a human-oriented breed, and want to be with their people inside or where ever their people happen to be at any given time.  The affectionate Samoyed will be your friend for life!  If you are looking for a dog to put out in the backyard to greet as time permits, you are looking into the wrong breed. An ignored Sammie equals a bored Sammie resulting in behavioural problems.","HEALTH Like all breeds there may be some health issues, like hip dysplasia, PRA, RD/OSD, cardiac and eye disease. Some dogs may be faced with these health challenges in their lives, but the majority of Samoyeds are healthy dogs. The Samoyed is a medium dog breed and has a lifespan of 12 to 14 years.",not available,not available,not available,"GROOMING His magnificent white coat has two layers, a dense, woolly undercoat, which is typically shed out once a year, and a silver-tipped harsh outer coat of long, straight guard hairs.  Grooming this lovely coat can be a pleasure, or a chore, for both dog and owner. Surprisingly, that glamorous coat stays fairly clean and requires far less grooming than most people expect. Weekly brushing is usually enough and mud sheds easily when dry. Little bathing is required and there is none of the ""doggy odour"" often found in other breeds. As a side benefit of the thick white coat, the Samoyed readily adapts to climate extremes - both cold and hot. However, the coat will eventually ""blow"" - once or twice a year the undercoat sheds in a spectacular way requiring many hours work with a stripping comb. A Samoyed will only smell if ill (normally from hormonal imbalance or gastric upsets) or if the under coast is left wet for long periods of time. For this reason when washing a Samoyed it is important to dry the thick under coat as quickly as possible, investment into a strong hair dryer or dog blower with a good supply of talcum powder is a great investment when owning a Samoyed.",
Schnauzer,not available,,not available,not available,not available,not available,not available,not available
Shetland Sheepdog,"APPEARANCE It is understandable how the Sheltie is often mistaken for a Collie pup. Shelties are in fact quite small, standing around 37 centimetres tall at the withers, around half the size of a Collie. Though small, Shelties are regarded by their owners as a breed of great beauty. The refined appearance of the breed is accentuated by the elegant head and a mane-like frill of abundant, long hair which envelops the shoulders and chest. The most common colours in Australia are sable, ranging from a pale gold to deep chocolate with white trimmings; a tri-colour of black with tan and white points; and the blue merle, blue with tan and white points. Other colours less often seen are the bi-colours of blue with white points or black with white points. For the full breed standard, please visit the ANKC page","TEMPERAMENT Shelties are an intelligent breed and very responsive to training. Though loyal to their owners, Shelties are known to be timid and wary of strangers if not encouraged to socialise. Once settled, a Sheltie puppy will quickly consider itself a member of the family and will happily follow its owners around all day. Because of their adeptness to training, many Shelties in Australia excel in dog activities such as the show ring, tracking, flyball , agility and of course obedience. Exceptionally attentive and responsive, Shetland Sheepdogs are easy to train if you have a calm voice and a light hand on the leash. Sensitivity is one of the hallmarks of this breed. Often they need only verbal corrections, and they wilt or become defensive if you jerk them around. Praise, gentle guidance, and food rewards are the way to go with Shelties. More importantly, Shelties need ""mental exercise."" These bright dogs cannot just sit in the backyard and do nothing. To be happy and well-behaved, they require mental stimulation such as advanced obedience, agility , herding, or challenging games you play with them, even if it's just fetching balls and finding hidden toys. These dogs have quick reflexes, which can make them overly reactive to loud noises and sudden touches. Indeed, quite a few individuals are highstrung, startle easily, and do not do well in an environment with frequent tension, loud voices, or too much rough-housing. Most Shelties have a soft, sweet temperament. They're peaceful with other animals and polite with everyone, though typically reserved and sometimes timid with strangers. To build a confident temperament, the Shetland Sheepdog needs more extensive socialisation than many other breeds. Shelties become unhappy when left for long periods of time without companionship, and unhappiness can translate to neurotic behaviors, destructive chewing, or chronic barking. The major behavioural issue with Shelties can be excessive barking , and some individuals have high-pitched, piercing voices.","HEALTH & LIFESPAN The Shetland Sheepdog is generally regarded as a sound breed so expect your four-legged companion to be around for 12-16 years. However miniaturisation has brought with it some health concerns, particulary inherited eye conditions such as Collie Eye Anomaly and Progressive Retina Atrophy , both of which can lead to blindness. Diligent Australian breeders do test for these conditions, as well as Hip Dysplasia , so they should not be evident in most progeny. Ask the breeder for confirmation that their dogs have been tested. Keep in mind that Shelties are also prone to getting quite fat, so watch how much (and what) you feed. Finally, don’t forget regular oral care from a very early age to avoid concerns.",not available,not available,not available,GROOMING,
Siberian Husky,"The Siberian Husky is an arctic breed with striking blue or brown eyes – or one eye of each colour. The skull is medium sized and should be proportionate to the body, slightly rounded on top and tapering from the eyes forward. The muzzle is medium length and with, tapering gradually to the tip which is neither completely round nor completely square. The nose is black for gray, tan or black dogs, liver in cooper dogs, and can be flesh-coloured in white dogs. Some dogs have a nose that has pink streaks, referred to as “snow nose.” The ears sit high atop the head, are triangular in shape with slightly rounded tips that should point straight up in the air. The back is long and straight. Siberian Husky - Photo Credit: Asryn Kennel The Husky's tail is covered in thick fur and is fox-brushed shape. It is carried over the back in a sickle curve when the dog is alert, and trails when the dog is relaxed. The coat comes in many colours including various shades of gray and silver, sand, red, and black-and-white, often with striking markings on the head that are not found in other breeds. Height: Male: 54–60 cm; Female: 50–56 cm Weight: Male: 20–27 kg; Female: 16–23 kg For the full breed standard, please visit the ANKC website .","The Siberian Husky has a delightful temperament, affectionate but not fawning. This gentle and friendly disposition may be a heritage from the past, since the Chukchi people held their dogs in great esteem, housed them in the family shelters, and encouraged their children to play with them. The Siberian Husky is alert, eager to please, and adaptable. Their intelligence has been proven, but their independent spirit may at times challenge your ingenuity. The versatility of the Siberian Husky makes them an agreeable companion to people of all ages and varying interests. While capable of showing strong affection for their family, the Siberian huskies are not usually a one-person dog. They exhibit no fear or suspicion of strangers, and will greet guests cordially. Theirs is not the temperament of a watchdog, although a Siberian husky may unwittingly act as a deterrent to those ignorant of their true hospitable nature. A Siberian rarely barks – they prefer to whine or moan and will hold their head high and produce a beautiful howl. If the howl persists the neighbours may get upset – they are a rather vocal dog. In their interactions with unfamiliar dogs, the Siberian Husky displays friendly interest and gentlemanly decorum.  If attacked, however, they are ready and able to defend themselves. Predatory instincts in the Siberian Husky are strong. While the Siberian is normally gentle and friendly with people and other dogs, owners MUST be aware that small animals in and around the home, such as rabbits, birds, guinea pigs and cats, are potential victims of their strong predatory instinct. Chewing and digging?  Siberian huskies have been known to do their share. Bored Siberian Huskies are famous for chewing through drywall, ripping the stuffing out of sofas, and turning your yard into a moonscape of giant craters. Digging holes is a pastime that many Siberian Huskies have a special proclivity for so if you take great pride in your landscaping efforts…  Don’t buy a Siberian Husky.","HEALTH Huskies are generally healthy, but like all breeds, they can be prone to certain health conditions. Breed health concerns may include crystalline corneal opacity, epilepsy , hip dysplasia, hypothyroidism, juvenile cataracts, osteochondritis dissecans (OCD), nasal depigmentation, progressive retinal atrophy (PRA) and von Willebrand disease. The average life span of the Siberian Husky is 12 to 14 years.","HOUSEPET POTENTIAL To make sure you can safely invite a Husky into your home you will need to have: Six foot fences around your entire yard with proper latching gates.  Huskies can dig, chew, squeeze and climb their way out of even apparently secure yards, and have been known to learn to operate simple gate locks. Time during the day and especially the morning and evening to walk, play with and be a close companion to your Husky.  They are not a set-and-forget breed and need to be included in all the variety of your family’s daily life, every single day.  A family’s lack of time is the number one reason most Huskies end up in rescue. A commitment to training to bring out the best in your Husky, and manage their intelligence, exuberance, assertiveness and even affection using motivational training techniques. Lack of basic discipline is the number two reason most huskies end up in rescue. Australia's largest dry land dog sled race near Shepparton (VIC)",not available,not available,"The Siberian Husky is a comparatively easy dog to care for. They are by nature fastidiously clean and free from body odour and parasites. Once or twice a year the Siberian Husky sheds his coat, and it is then, when armed with a comb and a garbage bag, that one realizes the amazing density and profusion of the typical Siberian Husky coat. Some people feel that this periodic problem is easier to cope with than the constant shedding and renewal of many smooth-coated breeds. If you like fur all over the house and in the very air you breathe, then fine. If, however, you value neatness at all times, then… Don’t buy a Siberian Husky.",
Staffordshire Bull Terrier - Dog Breed,"Staffords are well muscled in the hindquarters with a strong tail. Coat colours are red, fawn, white, black or blue, or any of these colours with white. Any shade of brindle or brindle with white is also acceptable. Height: 36-41cm Weight: Males 13-17kg, Females 11-15kg For the full breed standard, visit the ANKC website","TEMPERAMENT The breed is very human-oriented and loyal, although they can be aggressive to other dogs. It is essential that pups between 8-18 weeks are well socialised, especially with children and other dogs. Breeders warn, too, that the friendly nature of most Staffords means they go to strangers readily and risk being stolen for use in illegal dog fights.","Some Staffords can suffer from a few hereditary diseases that can be tested by DNA as a puppy, such as Hip Dysplasia (degenerative bone disease), Luxating Patellas (slipping kneecaps) and Entropion (an eye disease), but none are common in the breed. Staffies is known to be at a higher risk from mastocytoma (mast cell tumours) than the general population of dogs.",not available,not available,not available,Staffords are happiest indoors with the family; they shed little hair and are easily house-trained. Fortnightly bathing is adequate if the dog spends most of its time indoors.,
Weimaraner,"APPEARANCE The Weimaraner is a powerful-looking dog, well-muscled for strength and stamina and deep-chested for endurance. The coat is short, smooth, sleek, and solid-coloured, ranging from mouse-gray to silver-gray, usually with lighter shades on the head and ears. The Weimaraner head is aristocratic, with muzzle and skull being the same length. Eyes must be light amber, gray, or blue-gray; ears are fairly long and are set high on the head and folded over. The nose is dark gray and the skin pink (not white or black) inside the flaps of the ears and on the lips. Weight: Male: 32-37 kg; Female: 25-32 kg Height: Male: 63-68 cm; Female: 58-63 cm For the full breed standard, please visit the ankc.org.au","TEMPERAMENT The Weimaraner is a housedog however he’s not suited to apartment living. This highly active dog needs both a large, securely fenced backyard where he can run and an active family who can provide him with the exercise and mental stimulation he needs. Weimaraner competing in Dog Agility Weimaraners need a couple of hours of exercise daily if you want to prevent recreational barking , digging and chewing. You could play fetch and other running games, take him jogging or hiking, teach him to run alongside your bicycle, or get him involved in a dog sport such as agility or flyball . In the house, a mature, well-trained Weimaraner will be your shadow, from bedroom to bathroom to kitchen to den. Weimaraners are more prone than many breeds to suffer from separation anxiety and can become destructive and ""dig"" in your carpet or sofa in an attempt to create a secure nest. Weimaraners are highly intelligent, but they're also independent thinkers. This combination can make them a challenge when it comes to training. Be consistent and firm, but gentle. Among the tricks your Weimaraner may learn are getting ice from the dispenser in the door of your refrigerator, turning on faucets, and opening gates and doors.","HEALTH Weimaraners are generally healthy, but like all breeds, they're prone to certain health conditions: Hip Dysplasia: This is an abnormality of the hip joint. It may affect one or both sides. Dogs with hip dysplasia may or may not show any clinical signs. Although the tendency toward hip dysplasia is thought to be inherited, diet, rapid growth, and environment also are thought to be contributors to the condition. Bloat or Gastric dilatation-volvulus (GDV):  This is a life-threatening condition that can affect large, deep-chested dogs, especially if they are fed one large meal a day, eat rapidly, drink large volumes of water after eating, and exercise vigorously after eating. Some think that raised feeding dishes and type of food might be a factor in causing this to happen too. It is more common among older dogs. Skin Allergies",not available,not available,not available,"GROOMING A Weimaraner is one of the easiest breeds to groom. Even when he has been running through mud, the dirt just seems to fall off him. Weekly brushing with a bristle brush should keep his coat and skin healthy. Weimaraners shed, but brushing will help keep loose hair off your clothes and furniture. Bathe when needed. He takes great pleasure in rolling in anything stinky, so this may be more often than would normally be necessary. All breeds with hanging ears are prone to ear infections. Check your Weimaraner's ears weekly and wipe them out with a cotton ball moistened with a cleanser recommended by your veterinarian. Your Weimaraner may have an ear infection if the inside of the ear smells bad, looks red or seems tender, or he frequently shakes his head or scratches at his ear.",
